Gene.name	GO.term.accession
ncor1	REACTOME_PATHWAY:R-HSA-1852241~Organelle biogenesis and maintenance
atg101	DISGENET:C0024121~Lung Neoplasms
kars	GO:0004824
wars	GO:0019210
dalrd3	
pfdn6	GO:0051131
LOC100696647	GO:1900152
LOC100703522	GO:0005667
ncoa2	UP_TISSUE:Leukemic T-cell
LOC100705948	REACTOME_PATHWAY:R-HSA-913709~O-linked glycosylation of mucins
ldlrad4	GAD_DISEASE:Parkinson Disease
zmpste24	HPO:HP:0004492~Widely patent fontanelles and sutures
shc1	GO:0030971
ncaph	GO:0003682
spata22	MGD:MP:0001944~abnormal pancreas morphology
arl4a	GO:0005730
bub3	REACTOME_PATHWAY:R-HSA-194315~Signaling by Rho GTPases
zbtb18	GO:0000792
exosc8	
pdzrn3	UP_TISSUE:Testis
LOC100689844	GO:0090160
ptges2	
ska1	GO:0000278
nop56	HPO:HP:0003676~Progressive
LOC100708389	GAD_DISEASE:Echocardiography
LOC100708890	GO:0043410
LOC100709800	GO:0005388
tlr2	DISGENET:C0023343~Leprosy
mthfd1l	GAD_DISEASE:coronary disease
gosr2	GO:0012507
dnaaf4	GO:0001764
efcab1	GO:0005509
LOC100708442	MGD:MP:0002223~lymphoid hypoplasia
LOC100691430	
nr1h4	CTD:C2711227~Steatohepatitis
LOC102082062	
capn9	ORPHANET:CXXX~No diseases associated
LOC100707847	GO:0005515
zbtb21	GO:0042802
csad	REACTOME_PATHWAY:R-HSA-1430728~Metabolism
ivd	GO:0050660
gnas	GAD_DISEASE:Thyroid Nodule
htt	MGD:MP:0001724~abnormal extraembryonic endoderm formation
cmpk2	CGI:CXXX~No diseases associated
hinfp	
mrpl37	UP_TISSUE:Skeletal muscle
nfrkb	GO:0045893
knl1	REACTOME_PATHWAY:R-HSA-162582~Signal Transduction
chst3	HPO:HP:0002515~Waddling gait
cdk5r1	GO:0016533
suox	HPO:HP:0003359~Decreased urinary sulfate
sema4d	GO:0001934
romo1	GO:0031640
LOC100707344	GO:0005829
LOC100701446	MGD:MP:0013970~absent connection between subcutaneous lymph vessels and lymph sac
palb2	HPO:HP:0011027~Abnormal fallopian tube morphology
prkn	GO:2000377
LOC100698381	MGD:MP:0014143~decreased body fat mass
gfap	REACTOME_PATHWAY:R-HSA-9613829~Chaperone Mediated Autophagy
polg	MGD:MP:0001147~small testis
LOC100707368	GO:0007162
LOC100697553	DISGENET:C0023212~Left-Sided Heart Failure
fasn	GO:0016829
LOC100534577	GO:0014069
fbn1	HPO:HP:0001677~Coronary artery atherosclerosis
LOC100709478	GO:0004144
prmt5	GO:0034709
lg19h9orf72	GAD_DISEASE:Echocardiography
LOC100693204	GO:0050853
ldlr	HPO:HP:0001397~Hepatic steatosis
rad52	GAD_DISEASE:Brain Neoplasms|Glioma|Meningeal Neoplasms|meningioma|Neuroma, Acoustic|Neuromas, Acoustic
ppp1r2	CRB:CRB:0000042~Negative hit with Survival 28 Days CRISPRi in Glutamatergic Neuron
tmprss7	GO:0008233
bmp2	MGD:MP:0000063~decreased bone mineral density
cidec	MGD:MP:0003213~decreased susceptibility to age related obesity
cldn19	GENOMICS_ENGLAND:C1855466~Hypomagnesemia 5, Renal, with Ocular Involvement
stx2	CRB:CRB:XXX~No CRB phenotype
hck	GO:0006468
LOC100711611	GO:0004222
LOC100692694	REACTOME_PATHWAY:R-HSA-5621481~C-type lectin receptors (CLRs)
LOC100701832	UP_TISSUE:Peripheral blood neutrophil
ift20	GO:0005794
LOC100695013	GO:0007188
LOC100710041	GO:0005634
adamts5	ORPHANET:CXXX~No diseases associated
adamts17	CLINGEN:CXXX~No diseases associated
sec24a	UP_TISSUE:Eye
LOC100708886	REACTOME_PATHWAY:R-HSA-983169~Class I MHC mediated antigen processing & presentation
LOC100709080	GO:0005634
mlkl	REACTOME_PATHWAY:R-HSA-5218859~Regulated Necrosis
rnf216	GO:0032480
nos1	GO:0007263
gtf2h1	GO:0006289
fgf13	GO:0000165
taf6	GO:0016251
LOC100702273	GO:0005515
paip1	GO:0005737
LOC106098755	HPO:HP:0002040~Esophageal varix
dock7	GO:0007264
eif4a3	GO:0006364
LOC100690208	GO:0007155
bmp6	MGD:MP:0001925~male infertility
LOC100695178	UP_TISSUE:Kidney
kars	GO:0000166
decr1	GO:0006635
LOC100690812	GO:0009898
capzb	UP_TISSUE:Liver
mcm3ap	CRB:CRB:0000009~Negative hit with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron
slc24a5	HPO:HP:0007750~Hypoplasia of the fovea
lig3	GO:0003909
vars2	GO:0006412
zcrb1	GO:0006397
LOC100702022	DISGENET:C0024121~Lung Neoplasms
inip	CRB:CRB:0000046~Association with Survival CRISPRi in Glutamatergic Neuron
atm	HPO:HP:0000639~Nystagmus
hras	GO:0005525
hhip	GAD_DISEASE:Lung Diseases
dlx6	
LOC100702823	MGD:MP:0002702~decreased circulating free fatty acid level
cdk19	GO:0005524
pms2	GO:0004519
klhl8	GO:0031463
strn4	GO:0045202
wee1	CRB:CRB:0000022~Association with Survival No Antioxidants PSAP KO CRISPRi in Glutamatergic Neuron
crnkl1	GO:0005681
tgfb2	GAD_DISEASE:Lupus Erythematosus, Systemic|Systemic lupus erythematosus
brca2	CTD:C0259783~mixed gliomas
pabpn1l	GO:0003676
LOC100690099	GO:0000281
LOC100691710	MGD:MP:0005289~increased oxygen consumption
adgra3	GO:0007186
pacs2	MGD:MP:0010053~decreased grip strength
LOC100701446	GO:0005654
LOC100692530	GO:0001228
LOC102083004	GO:0007097
myo19	GO:0005737
itgb1	GO:0007155
nxn	MGD:MP:0010097~abnormal retinal blood vessel morphology
twsg1	MGD:MP:0001732~postnatal growth retardation
LOC100701261	GO:0005509
naga	HPO:HP:0007360~Aplasia/Hypoplasia of the cerebellum
clic1	GO:0005634
sf3a1	GO:0000389
lig3	
kansl2	CTD:CXXX~No diseases associated
LOC100702647	CGI:CXXX~No diseases associated
nasp	UP_TISSUE:Teratocarcinoma
LOC102082809	GO:0004674
bnip3	GO:0043065
LOC100709852	MGD:MP:0003406~failure of zygotic cell division
pcna	GO:0003684
LOC100706673	GO:1902165
tmed2	GO:0030137
itgb8	GO:1901388
mrpl55	GO:0005739
chek2	GO:0006974
chmp7	GO:0005635
hck	GO:0031234
cgref1	ORPHANET:CXXX~No diseases associated
LOC100534483	GO:0098869
crh	MGD:MP:0000188~abnormal circulating glucose level
gpr158	UP_TISSUE:Brain
LOC100706920	MGD:MP:0006362~abnormal male germ cell morphology
phex	MGD:MP:0004686~decreased length of long bones
melk	GO:0035556
LOC102082062	
sox10	HPO:HP:0000077~Abnormality of the kidney
clcc1	GO:0005634
zmynd11	GO:0034243
LOC100705523	GO:0000981
folh1b	MGD:MP:0000260~abnormal angiogenesis
vdac1	GO:0005739
LOC100703163	REACTOME_PATHWAY:R-HSA-168164~Toll Like Receptor 3 (TLR3) Cascade
epha3	GO:0007169
LOC100697048	GO:0000139
camk2b	GO:0018105
idua	MGD:MP:0030189~broad snout
trim8	CTD:CXXX~No diseases associated
LOC100692415	
nipa2	GO:1903830
LOC100690806	GO:0006378
recql4	HPO:HP:0002705~High, narrow palate
shprh	GO:0005654
cnn3	GAD_DISEASE:Tobacco Use Disorder
msh5	GO:0140664
LOC100699771	GO:0016787
ankfy1	CRB:CRB:0000008~Positive hit with Peroxidized Lipids (Liperfluo Intensity) in Glutamatergic Neuron
ptpro	GO:0003093
rcan3	GO:0019722
LOC102082062	
gas6	GO:2000669
LOC100700685	
LOC100709943	GO:0005515
LOC100705007	GO:1990837
stat3	GO:0045747
lmln	HPO:HPO:XXX~No HPO phenotype
hoxd3	GO:0009952
usp8	GO:0006508
LOC100691124	GO:0005654
LOC100693062	GO:0051117
LOC100699154	GO:0016020
chd2	HPO:HP:0010819~Atonic seizure
kiaa0556	PSYGENET:CXXX~No diseases associated
psmb4	REACTOME_PATHWAY:R-HSA-5358346~Hedgehog ligand biogenesis
bag4	GO:0006457
socs7	GO:0005737
LOC102082062	
LOC100699838	GO:0007165
acer3	GO:0006672
marf1	GO:0030154
LOC100694953	GO:0030172
sez6l2	GO:0005789
LOC100691078	REACTOME_PATHWAY:R-HSA-212436~Generic Transcription Pathway
LOC100709693	REACTOME_PATHWAY:R-HSA-983712~Ion channel transport
LOC106098755	GO:0001525
pcsk2	PSYGENET:CXXX~No diseases associated
ndufs2	GO:0070469
kcnj11	GO:0099508
LOC100709803	GO:0006629
znf821	
rchy1	GO:0032436
ddx11	HPO:HP:0000274~Small face
ace	DISGENET:C0750901~Alzheimer Disease, Early Onset
LOC100698643	GO:0005515
xrcc6	MGD:MP:0001806~decreased IgM level
ndufs1	GO:0009060
LOC100711421	CTD:C2937421~Prostatic Hyperplasia
LOC100690400	GO:0016787
msl3	GO:0072487
atg5	GO:0000045
hoxa3	GO:0000981
setd4	GO:0003713
lrguk	GO:0007283
LOC102082062	
afap1l2	GO:0007346
LOC100703896	REACTOME_PATHWAY:R-HSA-373080~Class B/2 (Secretin family receptors)
twnk	HPO:HP:0002495~Impaired vibratory sensation
LOC100697245	GO:0048821
LOC102082062	
stat3	GO:0007165
LOC100699569	GO:0008234
LOC100694653	MGD:MP:0000642~enlarged adrenal glands
txndc12	HPO:HPO:XXX~No HPO phenotype
agbl5	HPO:HP:0000613~Photophobia
ikbkg	KEGG_PATHWAY:hsa04668
pard3	GO:0030054
ndufa10	KEGG_PATHWAY:hsa04932
klc1	GO:0030426
fyn	KEGG_PATHWAY:hsa04650
LOC100696988	GO:0016020
LOC100701752	GO:0019265
ror2	DISGENET:C4049798~Total Respiratory System Resistance
LOC102082064	KEGG_PATHWAY:hsa04310
gmpr	CTD:C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative
dnajb11	DISGENET:C0022680~Polycystic Kidney Diseases
map3k20	GO:0007059
lg6h16orf45	UP_TISSUE:Uterus
smyd3	GO:0046872
aptx	GO:0005730
LOC100691722	HPO:HP:0007360~Aplasia/Hypoplasia of the cerebellum
sec31a	GO:0007029
ssr3	UP_TISSUE:Cervix carcinoma
slc8b1	GO:0042803
agpat3	GO:0012505
adcy8	REACTOME_PATHWAY:R-HSA-9658195~Leishmania infection
LOC100693204	GO:0005886
rpl34	GO:1990904
depdc5	UNIPROT:C4551983~EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 1
LOC100708339	REACTOME_PATHWAY:R-HSA-418594~G alpha (i) signalling events
LOC102079789	GO:0015026
LOC102082062	
ppp1r2	UP_TISSUE:Erythroleukemia
LOC102082062	
polr3d	GO:0005666
ercc5	HPO:HP:0001945~Fever
LOC100692385	GO:1901203
orc1	HPO:HP:0000237~Small anterior fontanelle
serping1	GO:0042730
mapk10	GO:0048511
LOC100692432	CTD:CXXX~No diseases associated
LOC100711064	UNIPROT:CXXX~No diseases associated
LOC102082062	
LOC102075990	GO:0086091
rab34	GO:0043001
rheb	KEGG_PATHWAY:hsa04211
LOC100708927	GO:0005886
plat	DISGENET:C0010072~Coronary Thrombosis
lig4	HPO:HP:0000964~Eczema
atp5s	GO:0015078
med22	GO:0060261
seh1l	REACTOME_PATHWAY:R-HSA-3301854~Nuclear Pore Complex (NPC) Disassembly
LOC106098755	GO:0030279
LOC102082062	GO:0005515
dars	REACTOME_PATHWAY:R-HSA-379724~tRNA Aminoacylation
rplp1	REACTOME_PATHWAY:R-HSA-975956~Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
nup98	REACTOME_PATHWAY:R-HSA-70171~Glycolysis
hus1	GO:0071479
snw1	KEGG_PATHWAY:hsa05203
ndufa3	GO:0005747
ercc5	GO:0003824
LOC100690411	GO:1902476
hspa4	GO:0005524
pop4	MGD:MP:0011091~prenatal lethality, complete penetrance
LOC100710962	GO:0016301
LOC100700105	GO:0005515
ercc6	GO:0010165
LOC100534398	HPO:HP:0000822~Hypertension
LOC100706973	GO:0005789
hmg20b	GO:0016604
ndufaf6	GAD_DISEASE:Waist-Hip Ratio
LOC100702935	GO:0097699
robo3	
nfasc	HPO:HP:0001263~Global developmental delay
tfg	CTD:C3714897~SPASTIC PARAPLEGIA 57, AUTOSOMAL RECESSIVE
ppargc1a	GAD_DISEASE:Cardiovascular Diseases|Obesity|Overweight
xylt2	HPO:HP:0004467~Preauricular pit
LOC100701809	GO:0016787
nalcn	GO:0055085
men1	HPO:HP:0001117~Sudden loss of visual acuity
abhd5	GO:0016787
mapre1	CRB:CRB:0000016~Association with Survival No Antioxidants CRISPRi in Glutamatergic Neuron
LOC100690953	GO:0061630
LOC100701982	GO:0048156
lama5	GO:0001822
faf1	UP_TISSUE:Cervix carcinoma
vps18	REACTOME_PATHWAY:R-HSA-9705683~SARS-CoV-2-host interactions
atrx	DISGENET:C2713368~Hematopoetic Myelodysplasia
tnip1	GO:0006412
tenm4	GAD_DISEASE:Cholesterol
LOC100690570	MGD:MP:0001790~abnormal immune system physiology
LOC100705935	GO:0005654
homer3	PSYGENET:CXXX~No diseases associated
tpo	GAD_DISEASE:hepatitis C; hypothyroidism
canx	GO:0005515
kras	HPO:HP:0001003~Multiple lentigines
cd276	GO:0005515
LOC100711249	GO:0098552
ppp4r3a	GAD_DISEASE:Heart Failure
LOC100712257	GO:0015485
cacna1c	GO:0086045
mdk	GO:0045582
taf1	GO:0006366
LOC100703894	GO:0005634
lrch1	GO:0005515
mme	GO:0004222
pld6	MGD:MP:0006035~abnormal mitochondrion morphology
ptpre	GO:0016020
arhgap21	MGD:MP:0000218~increased leukocyte cell number
taf2	UP_TISSUE:Erythroleukemia
LOC100707627	GO:0005290
LOC100689723	UP_TISSUE:Thalamus
hgd	PSYGENET:CXXX~No diseases associated
eif6	GO:0045652
grn	GO:0005576
nek2	GO:0005524
pan2	GO:0006397
LOC100700808	MGD:MP:0002272~abnormal nervous system electrophysiology
LOC100689819	GAD_DISEASE:Alcohol dependence 
lg16h2orf40	GO:0016324
LOC100705049	GO:0042802
LOC100694769	GO:0010008
LOC102082062	
gabrd	GO:0007214
poc1a	GENOMICS_ENGLAND:C0431350~Primary microcephaly
stk10	GO:0005524
znf423	MGD:MP:0006092~abnormal olfactory sensory neuron morphology
neu4	GO:0052794
LOC102082062	
LOC100692094	GO:0005515
LOC109194182	UP_TISSUE:B-cell
itgav	GO:0034683
dclre1c	
slitrk1	UNIPROT:C0040953~Trichotillomania
dhcr24	HPO:HP:0003510~Severe short stature
baz1b	HPO:HP:0001642~Pulmonic stenosis
tmem59	ORPHANET:CXXX~No diseases associated
LOC102082062	
sh3rf1	GO:2001237
LOC100692709	GO:0030496
gabrg2	GO:0005254
atp6ap2	GO:0061795
LOC102082062	
ehmt2	GO:0042054
LOC100691710	MGD:MP:0001575~cyanosis
crtc3	UP_TISSUE:Leukemic T-cell
tfap2a	GO:0021559
ano6	GO:0005229
LOC100693467	GO:0042383
ctnnb1	GO:0005634
nup54	CRB:CRB:0000022~Association with Survival No Antioxidants PSAP KO CRISPRi in Glutamatergic Neuron
akap1	GO:0005741
mlh1	GO:0019899
mafk	GO:0000785
stat3	GO:0005737
LOC100696908	MGD:MP:0004567~decreased myocardial fiber number
LOC100704203	GO:0051216
LOC100708824	GO:0005654
psmd1	GO:0022624
appl1	
LOC100702614	GO:0034702
LOC100695821	GO:0007411
LOC100709445	CTD:C0023893~Liver Cirrhosis, Experimental
parp1	GO:0090734
usp7	GO:0005694
LOC100706019	GO:0005576
LOC100698670	GO:0005783
LOC100693115	GO:0003677
LOC100534398	GO:0046872
rbm15	GO:0003723
ift172	GO:0097542
bbip1	REACTOME_PATHWAY:R-HSA-5617833~Cilium Assembly
e2f1	MGD:MP:0001870~salivary gland inflammation
LOC100694986	GAD_DISEASE:Obesity|POF - Premature ovarian failure|POLYCYSTIC OVARIAN SYNDROME|Polycystic Ovary Syndrome|Primary Ovarian Insufficiency|Puberty, Delayed|Puberty, Precocious|Thrombophilia|Tobacco Use Disorder
rbm18	GO:0045171
ube2a	HPO:HP:0001636~Tetralogy of Fallot
irf5	HPO:HP:0002017~Nausea and vomiting
nkiras2	REACTOME_PATHWAY:R-HSA-933542~TRAF6 mediated NF-kB activation
mknk2	GO:0005515
LOC100707095	GO:0030666
lsm2	CTD:CXXX~No diseases associated
tatdn2	GO:0046872
prmt1	GO:0018216
ptpn11	HPO:HP:0011381~Aplasia of the semicircular canal
LOC102082062	
xiap	KEGG_PATHWAY:hsa04217
eya1	GO:0030154
ptpro	GO:0030424
pex26	HPO:HP:0000343~Long philtrum
taf1	GO:0140416
hmgcll1	GO:0005789
chmp1a	GO:0046761
zdhhc7	
slc5a11	GO:0022857
LOC100698737	GO:0045216
runx3	CTD:C1621958~Glioblastoma Multiforme
anapc16	REACTOME_PATHWAY:R-HSA-74160~Gene expression (Transcription)
cacna1d	GO:0016020
LOC100700925	GO:0006357
LOC100695016	MGD:MP:0001718~abnormal visceral yolk sac morphology
LOC100697286	GO:0005905
atp5f1d	KEGG_PATHWAY:hsa05208
zfp64	UP_TISSUE:Cervix carcinoma
LOC100692540	GO:0042147
dlgap5	GO:0072686
mnat1	REACTOME_PATHWAY:R-HSA-167162~RNA Polymerase II HIV Promoter Escape
LOC100704479	GAD_DISEASE:Pancreatic Neoplasms
deptor	UP_TISSUE:Colon
psma4	GO:0005737
plekha8	GO:0070273
akt1	MGD:MP:0011086~postnatal lethality, incomplete penetrance
dtna	GO:0006941
LOC100690703	GO:0003283
rad17	GO:0000076
LOC100701700	GO:0034647
abl1	DISGENET:C0014859~Esophageal Neoplasms
sema3e	DISGENET:C0342384~Idiopathic hypogonadotropic hypogonadism
creb1	REACTOME_PATHWAY:R-HSA-166520~Signaling by NTRKs
slc44a4	GO:0006656
wwc1	GAD_DISEASE:Tobacco Use Disorder
tnip2	UP_TISSUE:Erythroleukemia
nr5a1	GAD_DISEASE:Infertility, Male
adam15	GO:0008237
LOC100698401	GO:0048539
LOC100705311	GO:0031514
ifngr1l	MGD:MP:0008596~increased circulating interleukin-6 level
cse1l	UP_TISSUE:Lymphoblast
rbm26	MGD:MP:0002574~increased vertical activity
LOC100707098	GO:0042995
lmna	GO:0005634
LOC100697415	GO:0005634
LOC100697186	GO:0030659
tmprss2	GO:0004252
rhpn1	MGD:MP:0005326~abnormal podocyte morphology
dnaaf3	GO:0030030
LOC100702161	MGD:MP:0002081~perinatal lethality
mcm2	GO:0005634
shh	HPO:HP:0002120~Cerebral cortical atrophy
LOC100696839	REACTOME_PATHWAY:R-HSA-8953897~Cellular responses to stimuli
LOC100693121	MGD:MP:0012232~abnormal ceramide level
LOC100709203	GO:0014070
LOC100706350	REACTOME_PATHWAY:R-HSA-73857~RNA Polymerase II Transcription
LOC100706281	GAD_DISEASE:Tobacco Use Disorder
pomt2	
reln	CTD:C1269683~Major Depressive Disorder
LOC100709347	DISGENET:C0205649~Adenoma, Monomorphic
casp9	GO:0097193
fabp2	GO:0005902
zcrb1	CLINGEN:CXXX~No diseases associated
cdk5rap1	GO:0005575
clcn6	GO:0006821
LOC100696207	MGD:MP:0004297~abnormal proprioceptive neuron morphology
hnf4a	GO:0008270
LOC100701380	GO:0005515
LOC100711670	REACTOME_PATHWAY:R-HSA-9717189~Sensory perception of taste
LOC100694934	CTD:CXXX~No diseases associated
syk	GO:0002250
slc12a1	GO:1902476
b3gat3	GO:0000139
mtbp	CLINGEN:CXXX~No diseases associated
tbc1d16	UP_TISSUE:Brain
spata18	MGD:MP:0002957~increased intestinal adenocarcinoma incidence
nipal3	CTD:C0376358~Malignant neoplasm of prostate
als2	GO:0031982
LOC100691481	GO:0005634
meox2	MGD:MP:0030934~decreased primordial germ cell proliferation
ndufb5	GAD_DISEASE:cognitive trait
anapc1	GO:0005680
sqstm1	HPO:HP:0002069~Bilateral tonic-clonic seizure
lrrc8a	GO:0007283
galnt1	GO:0030246
aida	GO:0016020
LOC100706088	GO:0000981
cers5	GO:0046513
LOC100709014	UP_TISSUE:Brain
LOC100710319	GO:0032839
LOC100701446	GO:0006468
clic1	GO:0005737
ankrd9	ORPHANET:CXXX~No diseases associated
LOC100534578	GO:0006959
pold2	GO:0005654
LOC100696343	GO:0030424
LOC102082062	
LOC100710292	GO:0043462
adamts1	PSYGENET:CXXX~No diseases associated
LOC100698402	GO:0030425
fgf2	GO:0042060
LOC100704166	HPO:HP:0002127~Abnormal upper motor neuron morphology
ctsh	GO:0005764
atp23	GO:0030054
LOC100704398	GO:0005509
glut1	CTD:C0007134~Renal Cell Carcinoma
dnajc13	HPO:HP:0002120~Cerebral cortical atrophy
prdm15	GO:0016604
LOC106096438	GO:0006935
cplx4	GO:0000149
hmbs	HPO:HP:0002018~Nausea
LOC100701695	GO:0005515
lepr	HPO:HP:0000842~Hyperinsulinemia
sh2b3	GO:0005515
nuf2	UP_TISSUE:Cervix carcinoma
aass	GO:0003824
tlr2	MGD:MP:0001748~increased circulating adrenocorticotropin level
LOC100692416	GO:1901741
pex1	HPO:HP:0007703~Abnormality of retinal pigmentation
znf516	CGI:CXXX~No diseases associated
nudt1	
LOC100697722	GO:0034198
ush2a	GO:0005518
ddit3	GO:0030968
LOC100711553	GO:0006986
trpc4ap	GO:1990756
zdbf2	GENOMICS_ENGLAND:CXXX~No diseases associated
ankrd13a	GO:0002091
c1qtnf5	MGD:MP:0002891~increased insulin sensitivity
wdr81	GO:0005739
dapk1	GO:0010508
rcan1	GO:0005515
LOC100702055	GO:0008021
ccdc50	GO:0005737
LOC100704495	GO:0005829
pla2r1	CRB:CRB:XXX~No CRB phenotype
cnot8	GO:0003723
LOC100703423	GO:0005739
tp63	GO:0006915
LOC100694258	GO:1903958
cacybp	MGD:MP:0004045~abnormal cell cycle checkpoint function
prdm8	GO:0003714
spcs3	GO:0005783
ada	GO:0001701
LOC100689844	GO:0005770
tpo	HPO:HP:0000158~Macroglossia
akap10	MGD:MP:0002092~abnormal eye morphology
rrp36	UP_TISSUE:B-cell
abcc8	REACTOME_PATHWAY:R-HSA-5683177~Defective ABCC8 can cause hypo- and hyper-glycemias
kif1b	HPO:HP:0001761~Pes cavus
scyl3	GO:0005783
ryr3	GO:0033017
tdrd7	DISGENET:C0021364~Male infertility
banf1	CRB:CRB:0000024~Negative hit with Survival No Antioxidants PSAP KO CRISPRi in Glutamatergic Neuron
dgat2	GO:0042803
pkib	GO:1904355
pign	GO:0016020
gar1	GO:0007004
pdf	GO:0042586
chek2	UP_TISSUE:Mammary gland
ubp1	GO:1990837
spock3	GO:0005509
ccnb1ip1	GO:0005515
LOC100708927	GO:0015179
LOC100690299	MGD:MP:0009964~abnormal cerebellum lobule morphology
nusap1	GO:0005819
rack1	GO:0007369
LOC109194259	MGD:MP:0005642~decreased mean corpuscular hemoglobin concentration
krit1	MGD:MP:0002824~abnormal chorioallantoic fusion
prkn	GAD_DISEASE:Body Weight
LOC100694059	GO:0042802
ttc3	GO:0016020
march8	UP_TISSUE:Testis
camk2b	REACTOME_PATHWAY:R-HSA-73857~RNA Polymerase II Transcription
mme	GO:0005802
LOC100705181	GO:0016787
gbf1	GO:0032012
LOC100691895	GO:0005694
LOC100690421	GO:0032886
hlcs	GO:0043687
synj1	GO:0046856
ednra	GAD_DISEASE:Migraine with Aura
stat3	CTD:C0007786~Brain Ischemia
mmp2	GAD_DISEASE:lung cancer
hpse	GO:0007160
crispld2	GO:0030198
snrpg	GO:0005681
LOC100691991	HPO:HP:0001065~Striae distensae
p53	GO:0048512
cnp	MGD:MP:0001304~cataract
atp11c	MGD:MP:0005017~decreased B cell number
gripap1	
mgrn1	
LOC100697652	GO:0045728
pld3	GO:0070062
trpv4	GO:0046872
LOC100703376	GO:0016491
rbp3	HPO:HP:0000135~Hypogonadism
LOC100698230	REACTOME_PATHWAY:R-HSA-76002~Platelet activation, signaling and aggregation
cerkl	HPO:HP:0000602~Ophthalmoplegia
med7	GO:0016592
emx2	MGD:MP:0004277~abnormal lateral ganglionic eminence morphology
med19	REACTOME_PATHWAY:R-HSA-5663205~Infectious disease
taf6	GO:0016251
myo19	
LOC100691978	REACTOME_PATHWAY:R-HSA-351202~Metabolism of polyamines
LOC100712449	CTD:C0149886~Seizure, Febrile, Simple
rps11	GO:0003735
msmo1	GO:0006629
rbx1	REACTOME_PATHWAY:R-HSA-2644603~Signaling by NOTCH1 in Cancer
park7	GO:0005507
prkg2	GO:0004692
bag5	GO:0090083
slc31a1	GO:0006825
LOC100700131	CTD:C0029459~Osteoporosis, Senile
LOC100699821	REACTOME_PATHWAY:R-HSA-400206~Regulation of lipid metabolism by PPARalpha
p53	GO:0005759
setbp1	UNIPROT:C0023473~Myeloid Leukemia, Chronic
LOC100693467	GAD_DISEASE:EKG, abnormal
pikfyve	MGD:MP:0000848~abnormal pons morphology
agtr1	HPO:HP:0002009~Potter facies
pfdn6	GO:0016272
LOC100710393	GO:0003677
aasdh	UP_TISSUE:Umbilical cord blood
LOC102082062	
hax1	GO:0005634
htr2a	GAD_DISEASE:depressive disorder, major
agt	GO:0007267
fli1	GAD_DISEASE:Lupus Erythematosus, Systemic|Systemic lupus erythematosus
snx33	GO:0007032
